establishment_registration_no,name,address,nature_of_business,date_of_commencement,pan,gstin,phone,email,employee_count
SE-220024,Subramanian Systems Pvt Ltd,"Survey No. 78, 3rd Cross, 4th Main, Nelamangala Industrial Area, Nelamangala, 562123",Plastic products,2013-01-13,MYHCX8577X,,7713685399,,351
SE-210025,M/s Joshi Industries Ltd,"Shed No. 12, Industrial Layout, Yeshwantpur, Yeshwanthpur, 560022",Plastic products,2022-07-09,,,7095768375,msjoshiindustriesl91@rediffmail.com,123
SE-190026,Iyer Enterprises LLP,"No. 3, Tumkur Road, Jigani Industrial Area, Anekal, 562106",Paper / packaging,2017-12-23,TYFFD1652S,,7162165079,iyerenterprisesllp83@outlook.com,29
SE-180027,M/s Desai Systems Pvt Ltd,"No. 45/2, Service Road, Peenya Ind Area Ph 1, Yeshwanthpur, 560058",Food processing,2015-07-22,,,8398061962,,5
SE-220028,Naidu Exports LLP,"Shed No. 12, 3rd Cross, 4th Main, KIADB Industrial Area Anekal, Anekal",Electronics / IT hardware,2006-06-28,QVSFT9285M,,9530528735,,16
SE-190029,Joshi Systems & Co,"Shed No. 12, Service Road, Bommasandra Industrial Area, Anekal",Food processing,2005-12-14,IMIFJ2258O,,7663690236,joshisystemsco26@outlook.com,120
SE-200030,Chandra Inds Pvt Ltd,"Plot No. 88, Industrial Layout, Bommasandra Industrial Area, Anekal, 560099",Plastic products,2006-04-04,CFRCP4547I,,,,31
SE-200031,Shetty Works Pvt Ltd,"Plot No. 88, Industrial Layout, Bommasandra Industrial Area, Anekal, 560099",Textile / garment,1999-01-18,THPCP9823H,,7923574064,,29
SE-180032,M/s Kamath Solutions & Co,"Shed No. 7B, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",Electrical equipment,2016-05-03,,,9100511277,mskamathsolutionsc20@gmail.com,119
SE-210033,Subramanian Plastics P. Ltd,"No. 89/B, Industrial Layout, Raajajinagara, Bangalore North",Plastic products,2000-03-08,JXHCL5090T,,6240586572,subramanianplastic78@gmail.com,31
SE-200034,Krishnan Enterprises (P) Ltd,"No. 89/B, Ring Road, Whitefld, KR Puram, 560066",Pharmaceutical manufacturing,2018-03-09,GSSCR9766Y,,9975047134,,35
SE-230035,Krishnan Foods Pvt Ltd,"Survey No. 78, Service Road, Nelamangala Industrial Area, Nelamangala, 562123",Metal fabrication,2019-10-19,,,,krishnanfoodspvtlt77@outlook.com,118
SE-190036,Kumar Plastics & Co,"Plot No. 42, Industrial Layout, Nelamangala Industrial Area, Nelamangala, 562123",Electrical equipment,2020-08-10,QXEFQ4033R,,9378671110,,122
SE-200037,Murthy Agencies Pvt Ltd,"Survey No. 123, KIADB Industrial Estate, Peenya Industrial Area Phase 2, Yeshwanthpur, 560058",Rubber products,2006-09-05,,,7070448642,murthyagenciespvtl59@company.in,5
SE-230038,M/s Chandra Corp LLP,"Plot No. 7, Service Road, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",Paper / packaging,2020-05-14,SIAFF8196E,,8376013369,,31
SE-230039,Joshi Plastics & Co,"Plot No. 18, Industrial Layout, Peenya Industrial Area Phase 3, Yeshwanthpur, 560058",Textile / garment,2013-03-15,,,8076222576,joshiplasticsco21@rediffmail.com,36
SE-180040,Shetty Corp Pvt Ltd,"Shed No. 12, KIADB Industrial Estate, KIADB Industrial Area Anekal, Anekal, 562106",Rubber products,2002-09-19,OGUCT7836V,,7593385747,shettycorppvtltd31@yahoo.com,124
SE-180041,M/s Patel Fabricators Pvt Ltd,"Plot No. 42, Tumkur Road, Electronic City Phase 1, Anekal, 560100",Chemical manufacturing,2020-08-28,WZBCG6303R,,,mspatelfabricators59@outlook.com,32
SE-190042,Nair Agencies Ltd,"Shed No. 7B, Ring Road, Whitefield, KR Puram, 560066",Wholesale trade,2000-10-28,LSXCU2315O,,6266665569,nairagenciesltd2@company.in,349
SE-180043,Krishnan Foods (P) Ltd,"Plot No. 7, 3rd Cross, 4th Main, Dobbaspet Industrial Area, Nelamangala, 572215",IT services / software,2006-08-26,,,6754053584,,31
SE-180044,M/s Raghavan Systems & Co,"No. 3, Tumkur Road, Peenyaa 3rd Stage, Yeshwanthpur, 560058",Printing and publishing,2019-04-16,ZUJFA5466P,,9395187753,msraghavansystemsc19@company.in,352
SE-220045,Menon Enterprises Pvt Ltd,"No. 89/B, Ring Road, E-City Ph 1, Anekal, 560100",Electrical equipment,2000-11-07,,,7582772358,menonenterprisespv20@outlook.com,6
SE-180046,Shetty Traders Ltd,"Site No. 112/A, Service Road, Bommasandra Indl, Anekal, 560099",Pharmaceutical manufacturing,2003-02-22,,,,shettytradersltd91@gmail.com,125
SE-220047,Iyer Tech Ltd,"Plot No. 42, Tumkur Road, Nelamangala Industrial Area, Nelamangala",IT services / software,2005-07-20,,,9771135088,iyertechltd72@company.in,9
SE-210048,M/s Pillai Exports Ltd,"Site No. 112/A, Service Road, Jigani Indl Area, Anekal, 562106",Food processing,2014-04-25,,,,mspillaiexportsltd4@gmail.com,6
SE-200049,Joshi Mfg Pvt Ltd,"No. 3, Industrial Layout, Bommasandra Industrial Area Phase 4, Anekal, 560099",Textile / garment,2018-06-05,,,9864615581,joshimfgpvtltd41@company.in,14
SE-230050,Desai Agencies LLP,"Survey No. 78, 3rd Cross, 4th Main, Electronic City Phase 1, Anekal, 560100",Auto components,1999-11-18,,,6491103614,,35
SE-200051,Joshi Industries Ltd,"Shed No. 12, Industrial Layout, Yeshwantpur, Yeshwanthpur, 560022",Plastic products,2022-07-09,FYMCD0817V,,6050212959,joshiindustriesltd28@outlook.com,123
SE-230052,Subramanian Plastics Private Limited,"No. 89/B, Industrial Layout, Rajajinagar, Bangalore North, 560010",Plastic products,2000-03-08,JXHCL5090T,,7547345432,,31
SE-180053,Iyer Tech Ltd,"Plot No. 42, Tumkur Road, Nelamangala Industrial Area, Nelamangala, 562123",IT services / software,2005-07-20,,,7528108461,,9
SE-210054,Kamath Solutions & Co,"Shed No. 7B, 3rd Cross, 4th Main, E-City Ph 1, Anekal, 560100",Electrical equipment,2016-05-03,,,6781312842,kamathsolutionsco64@rediffmail.com,119
SE-220055,Joshi Manufacturing Private Limited,"No. 3, Industrial Layout, Bommasandra Industrial Area Phase 4, Anekal, 560099",Textile / garment,2018-06-05,,,9951414290,,14
SE-180056,Shetty Exports Pvt Ltd,"Survey No. 78, Tumkur Road, Whitefield, KR Puram, 560066",Rubber products,2004-07-22,LYXCR1956I,,6654424558,shettyexportspvtlt3@gmail.com,35
SE-180057,Krishnan Plastics & Co,"Site No. 56, Tumkur Road, Electronic City Phase 1, Anekal, 560100",Electronics / IT hardware,2004-11-21,,,8814337545,krishnanplasticsco61@company.in,16
SE-220058,Nair Foods & Co,"Site No. 56, Industrial Layout, Peenya Industrial Area Phase 1, Yeshwanthpur, 560058",Paper / packaging,2021-08-15,DMNFI7488L,,8300837083,nairfoodsco45@rediffmail.com,34
SE-230059,Patel Fabricators Pvt Ltd,"Plot No. 42, Tumkur Road, Electronic Citi Ph 1, Anekal",Chemical manufacturing,2020-08-28,,,8115064540,patelfabricatorspv3@rediffmail.com,32
SE-200060,Desai Systems Pvt Ltd,"No. 45/2, Service Road, Peenya Ind Area Ph 1, Yeshwanthpur, 560058",Food processing,2015-07-22,KSBCQ1786D,,8129269082,desaisystemspvtltd39@outlook.com,5
SE-220061,Shetty Corp Pvt Ltd,"Shed No. 12, KIADB Industrial Estate, KIADB Anekala, Anekal",Rubber products,2002-09-19,OGUCT7836V,,9430852634,shettycorppvtltd66@company.in,124
SE-190062,Raghavan Products & Co,"Site No. 56, 3rd Cross, 4th Main, Whitefield, KR Puram, 560066",Paper / packaging,2005-10-20,,,9268899702,raghavanproductsco31@yahoo.com,6
SE-200063,Menon Manufacturing,"Shed No. 12, Industrial Layout, Dobbaspet Industrial Area, Nelamangala, 572215",Food processing,2018-03-26,,,9221622107,menonmanufacturing63@outlook.com,118
