licence_number,form2_registration_no,factory_name,address,village_town,taluk,district,pin_code,nature_of_manufacturing,nic_code,occupier_pan,gstin,phone,email,employee_count,installed_hp,constitution_type,registration_date,licence_valid_until
KA/FAC/BNG/00027,FB-20210027,Desai Systems Pvt Ltd,"No. 45/2, Service Road, Peenya Industrial Area Phase 1 - 560058",Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,,Food processing,10101,KSBCQ1786D,29KSBCQ1786D1Z5,9924837808,desaisystemspvtltd30@gmail.com,5,21,Pvt Ltd,2016-07-20,2017-07-20
KA/FAC/BNG/00028,FB-20220028,Naidu Exports LLP,"Shed No. 12, 3rd Cross, 4th Main",KIADB Industrial Area Anekal,Anekal,Bengaluru Urban,562106,Electronics / IT hardware,26200,,,9207055328,naiduexportsllp14@yahoo.com,16,28,LLP,2006-11-24,2007-11-24
KA/FAC/BNG/00029,FB-20170029,Joshi Systems & Co,"Shed No. 12, Service Road, Bommasandra Industrial Area - 560099",Bommasandra Industrial Area,Anekal,Bengaluru Urban,,Food processing,10101,,,8382944015,joshisystemsco65@rediffmail.com,120,177,Partnership,2006-06-07,2009-06-06
KA/FAC/BNG/00030,FB-20190030,Chandra Industries Private Limited,"Plot No. 88, Industrial Layout",Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,Plastic products,22209,,29CFRCP4547I1Z5,,chandraindustriesp45@company.in,31,64,Pvt Ltd,2006-12-06,2008-12-05
KA/FAC/BNG/00031,FB-20180031,Shetty Works Pvt Ltd,"Plot No. 88, Industrial Layout",Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,Textile / garment,13111,THPCP9823H,29THPCP9823H1Z5,8232262483,shettyworkspvtltd58@company.in,29,63,Pvt Ltd,1999-09-12,2000-09-11
KA/FAC/BNG/00032,FB-20200032,Naidu Solutions,"Shed No. 7B, 3rd Cross, 4th Main",Electronic City Phase 1,Anekal,Bengaluru Urban,560100,Electrical equipment,27900,,,6389070418,,119,200,Partnership,2017-02-12,2019-02-12
KA/FAC/BNG/00033,FB-20170033,Subramanian Plastics Pvt Ltd,"No. 89/B, Industrial Layout",Rajajinagar,Bangalore North,Bengaluru Urban,560010,Plastic products,22209,JXHCL5090T,29JXHCL5090T1Z5,6378870657,,31,76,Pvt Ltd,2000-05-17,2002-05-17
KA/FAC/BNG/00034,FB-20210034,Krishnan Enterprises Private Limited,"No. 89/B, Ring Road, Whitefield - 560066",Whitefield,KR Puram,Bengaluru Urban,,Pharmaceutical manufacturing,21001,GSSCR9766Y,,7461672073,,35,62,Pvt Ltd,2018-06-13,2019-06-13
KA/FAC/BNG/00035,FB-20170035,Acharya Foods,"Survey No. 78, Service Road",Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,Metal fabrication,25910,,29DRSCN4004I1Z5,,acharyafoods63@company.in,118,182,Pvt Ltd,2019-12-08,2020-12-07
KA/FAC/BNG/00036,FB-20210036,Kumar Plastics & Co,"Plot No. 42, Industrial Layout",Nelamangala Industrial Area,Nelamangala,Bengaluru Rural,562123,Electrical equipment,27900,,,9184613412,kumarplasticsco2@rediffmail.com,122,188,Partnership,2020-09-22,2022-09-22
KA/FAC/BNG/00037,FB-20200037,Murthy Agencies Pvt Ltd,"Survey No. 123, KIADB Industrial Estate",Peenya Industrial Area Phase 2,Yeshwanthpur,Bengaluru Urban,560058,Rubber products,22190,,29ZKNCR5413T1Z5,7016086829,murthyagenciespvtl54@yahoo.com,5,16,Pvt Ltd,2007-08-18,2010-08-17
KA/FAC/BNG/00038,FB-20220038,Chandra Corp LLP,"Plot No. 7, Service Road, Peenya Industrial Area Phase 1 - 560058",Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,,Paper / packaging,17010,SIAFF8196E,29SIAFF8196E1Z5,9905565053,,31,71,LLP,2020-12-01,2022-12-01
KA/FAC/BNG/00039,FB-20170039,Joshi Plastics & Co,"Plot No. 18, Industrial Layout",Peenya Industrial Area Phase 3,Yeshwanthpur,Bengaluru Urban,560058,Textile / garment,13111,TDBFW3720S,,7985138500,,36,76,Partnership,2013-10-10,2016-10-09
KA/FAC/BNG/00040,FB-20220040,Shetty Corp Pvt Ltd,"Shed No. 12, KIADB Industrial Estate",KIADB Industrial Area Anekal,Anekal,Bengaluru Urban,562106,Rubber products,22190,OGUCT7836V,29OGUCT7836V1Z5,8581901873,shettycorppvtltd85@gmail.com,124,176,Pvt Ltd,2002-12-16,2005-12-15
KA/FAC/BNG/00041,FB-20170041,Pai Systems & Co,"No. 45/2, 3rd Cross, 4th Main",Whitefield,KR Puram,Bengaluru Urban,560066,Auto components,29300,HORFB6492U,29HORFB6492U1Z5,6605825190,paisystemsco49@outlook.com,32,62,Partnership,2018-10-12,2020-10-11
KA/FAC/BNG/00042,FB-20180042,Raghavan Systems & Co,"No. 3, Tumkur Road",Peenya Industrial Area Phase 3,Yeshwanthpur,Bengaluru Urban,560058,Printing and publishing,18101,ZUJFA5466P,29ZUJFA5466P1Z5,9704010684,,352,498,Partnership,2019-06-05,2020-06-04
KA/FAC/BNG/00043,FB-20200043,Verma Foods & Co,"Plot No. 7, 3rd Cross, 4th Main",Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,Rubber products,22190,XHKFY3408D,,7601496730,vermafoodsco16@outlook.com,357,518,Partnership,2021-07-08,2023-07-08
KA/FAC/BNG/00044,FB-20220044,Shetty Traders Ltd,"Site No. 112/A, Service Road",Bommasandra Industrial Area,Anekal,Bengaluru Urban,560099,Pharmaceutical manufacturing,21001,VOPCG7752Z,,7708709681,shettytradersltd80@gmail.com,125,183,Public Ltd,2003-10-28,2005-10-27
KA/FAC/BNG/00045,FB-20190045,Reddy Manufacturing Private Limited,"Site No. 112/A, KIADB Industrial Estate",Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,Electronics / IT hardware,26200,TNTCU5159B,29TNTCU5159B1Z5,,reddymanufacturing15@company.in,37,71,Pvt Ltd,2008-01-02,2009-01-01
KA/FAC/BNG/00046,FB-20180046,Sharma Pharma & Co,"Survey No. 123, 3rd Cross, 4th Main, Bommasandra Industrial Area Phase 4 - 560099",Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,,Textile / garment,13111,,,,,118,185,Partnership,2016-12-30,2018-12-30
KA/FAC/BNG/00047,FB-20190047,Anand Traders Ltd,"Shed No. 7B, KIADB Industrial Estate",Electronic City Phase 1,Anekal,Bengaluru Urban,560100,Rubber products,22190,,,7053439112,anandtradersltd72@outlook.com,356,496,Public Ltd,2019-01-29,2022-01-28
KA/FAC/BNG/00048,FB-20180048,Anand Traders Ltd,"Shed No. 7B, KIADB Industrial Estate",Electronic City Phase 1,Anekal,Bengaluru Urban,560100,Rubber products,22190,,,8377483982,anandtradersltd78@rediffmail.com,356,496,Public Ltd,2019-01-03,2020-01-03
KA/FAC/BNG/00049,FB-20220049,Bhat Works LLP,"Survey No. 123, 3rd Cross, 4th Main",Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,560099,Plastic products,22209,,,9896469366,bhatworksllp39@gmail.com,7,23,LLP,1998-07-19,2001-07-18
KA/FAC/BNG/00050,FB-20180050,Sharma Enterprises Pvt Ltd,"No. 3, Industrial Layout, Bommasandra Industrial Area - 560099",Bommasandra Industrial Area,Anekal,Bengaluru Urban,,Textile / garment,13111,GMWCK6164G,29GMWCK6164G1Z5,7646713440,sharmaenterprisesp20@company.in,27,79,Pvt Ltd,2022-07-01,2023-07-01
KA/FAC/BNG/00051,FB-20200051,Sharma Pharma & Co,"Survey No. 123, 3rd Cross, 4th Main",Bommasandra Industrial Area Phase 4,Anekal,Bengaluru Urban,560099,Textile / garment,13111,,,9006798755,sharmapharmaco63@company.in,118,185,Partnership,2017-06-13,2018-06-13
KA/FAC/BNG/00052,FB-20200052,Verma Fabricators LLP,"Plot No. 42, 3rd Cross, 4th Main",Yeshwanthpur,Yeshwanthpur,Bengaluru Urban,560022,Food processing,10101,VBIFZ1475C,29VBIFZ1475C1Z5,6430844493,,358,499,LLP,2015-11-02,2016-11-01
KA/FAC/BNG/00053,FB-20170053,Raghavan Works,"Survey No. 78, KIADB Industrial Estate",Peenya Industrial Area Phase 1,Yeshwanthpur,Bengaluru Urban,560058,Pharmaceutical manufacturing,21001,CRHPR9835D,,8987487349,,38,72,Proprietorship,2012-01-29,2013-01-28
KA/FAC/BNG/00054,FB-20190054,Shetty Products Pvt Ltd,"Survey No. 123, KIADB Industrial Estate",Electronic City Phase 2,Anekal,Bengaluru Urban,560100,Electrical equipment,27900,,,6611614932,shettyproductspvtl3@rediffmail.com,30,71,Pvt Ltd,2006-07-02,2009-07-01
